date;value;name;unit
28.01.2025;61.3486;Австралийский доллар;1
29.01.2025;61.2580;Австралийский доллар;1
30.01.2025;61.1305;Австралийский доллар;1
31.01.2025;61.0089;Австралийский доллар;1
01.02.2025;60.8872;Австралийский доллар;1
04.02.2025;61.1253;Австралийский доллар;1
05.02.2025;60.9923;Австралийский доллар;1
28.01.2025;57.1365;Азербайджанский манат;1
29.01.2025;57.6269;Азербайджанский манат;1
30.01.2025;57.6545;Азербайджанский манат;1
31.01.2025;57.6507;Азербайджанский манат;1
01.02.2025;57.5357;Азербайджанский манат;1
04.02.2025;58.7902;Азербайджанский манат;1
05.02.2025;57.9609;Азербайджанский манат;1
28.01.2025;121.2596;Фунт стерлингов;1
29.01.2025;122.1927;Фунт стерлингов;1
30.01.2025;121.8493;Фунт стерлингов;1
31.01.2025;121.8609;Фунт стерлингов;1
01.02.2025;121.9406;Фунт стерлингов;1
04.02.2025;124.1895;Фунт стерлингов;1
05.02.2025;122.2999;Фунт стерлингов;1
28.01.2025;24.3830;Армянский драм;100
29.01.2025;24.5923;Армянский драм;100
30.01.2025;24.6096;Армянский драм;100
31.01.2025;24.6296;Армянский драм;100
01.02.2025;24.6158;Армянский драм;100
04.02.2025;25.1753;Армянский драм;100
05.02.2025;24.8377;Армянский драм;100
28.01.2025;28.5179;Белорусский рубль;1
29.01.2025;28.7206;Белорусский рубль;1
30.01.2025;28.6989;Белорусский рубль;1
31.01.2025;28.7122;Белорусский рубль;1
01.02.2025;28.7653;Белорусский рубль;1
04.02.2025;29.1295;Белорусский рубль;1
05.02.2025;28.8371;Белорусский рубль;1
28.01.2025;28.5179;Белорусский рубль;1
29.01.2025;28.7206;Белорусский рубль;1
30.01.2025;28.6989;Белорусский рубль;1
31.01.2025;28.7122;Белорусский рубль;1
01.02.2025;28.7653;Белорусский рубль;1
04.02.2025;29.1295;Белорусский рубль;1
05.02.2025;28.8371;Белорусский рубль;1
28.01.2025;52.0068;Болгарский лев;1
29.01.2025;52.7438;Болгарский лев;1
30.01.2025;52.2227;Болгарский лев;1
31.01.2025;52.0941;Болгарский лев;1
01.02.2025;52.0253;Болгарский лев;1
04.02.2025;53.1085;Болгарский лев;1
05.02.2025;51.7598;Болгарский лев;1
28.01.2025;16.4848;Бразильский реал;1
29.01.2025;16.5290;Бразильский реал;1
30.01.2025;16.6329;Бразильский реал;1
31.01.2025;16.7266;Бразильский реал;1
01.02.2025;16.5772;Бразильский реал;1
04.02.2025;17.1435;Бразильский реал;1
05.02.2025;16.7905;Бразильский реал;1
28.01.2025;24.9255;Форинт;100
29.01.2025;24.9957;Форинт;100
30.01.2025;24.9924;Форинт;100
31.01.2025;25.0373;Форинт;100
01.02.2025;24.8990;Форинт;100
04.02.2025;24.9821;Форинт;100
05.02.2025;24.9654;Форинт;100
28.01.2025;39.9309;Донг;10000
29.01.2025;40.2737;Донг;10000
30.01.2025;40.2929;Донг;10000
31.01.2025;40.2903;Донг;10000
01.02.2025;40.2099;Донг;10000
04.02.2025;41.0867;Донг;10000
05.02.2025;40.4489;Донг;10000
28.01.2025;12.4977;Гонконгский доллар;1
29.01.2025;12.5969;Гонконгский доллар;1
30.01.2025;12.6037;Гонконгский доллар;1
31.01.2025;12.6021;Гонконгский доллар;1
01.02.2025;12.5737;Гонконгский доллар;1
04.02.2025;12.8454;Гонконгский доллар;1
05.02.2025;12.6748;Гонконгский доллар;1
28.01.2025;33.6866;Лари;1
29.01.2025;34.0065;Лари;1
30.01.2025;34.0724;Лари;1
31.01.2025;34.0488;Лари;1
01.02.2025;34.0081;Лари;1
04.02.2025;34.9905;Лари;1
05.02.2025;34.6913;Лари;1
28.01.2025;13.6324;Датская крона;1
29.01.2025;13.8235;Датская крона;1
30.01.2025;13.6868;Датская крона;1
31.01.2025;13.6529;Датская крона;1
01.02.2025;13.6369;Датская крона;1
04.02.2025;13.9205;Датская крона;1
05.02.2025;13.5669;Датская крона;1
28.01.2025;26.4485;Дирхам ОАЭ;1
29.01.2025;26.6755;Дирхам ОАЭ;1
30.01.2025;26.6883;Дирхам ОАЭ;1
31.01.2025;26.6865;Дирхам ОАЭ;1
01.02.2025;26.6333;Дирхам ОАЭ;1
04.02.2025;27.2140;Дирхам ОАЭ;1
05.02.2025;26.8301;Дирхам ОАЭ;1
28.01.2025;97.1320;Доллар США;1
29.01.2025;97.9658;Доллар США;1
30.01.2025;98.0126;Доллар США;1
31.01.2025;98.0062;Доллар США;1
01.02.2025;97.8107;Доллар США;1
04.02.2025;99.9433;Доллар США;1
05.02.2025;98.5336;Доллар США;1
28.01.2025;102.7460;Евро;1
29.01.2025;101.5957;Евро;1
30.01.2025;102.4041;Евро;1
31.01.2025;102.7782;Евро;1
01.02.2025;102.1301;Евро;1
04.02.2025;102.4910;Евро;1
05.02.2025;102.6852;Евро;1
28.01.2025;19.3282;Египетский фунт;10
29.01.2025;19.5155;Египетский фунт;10
30.01.2025;19.5105;Египетский фунт;10
31.01.2025;19.5093;Египетский фунт;10
01.02.2025;19.4691;Египетский фунт;10
04.02.2025;19.8513;Египетский фунт;10
05.02.2025;19.5858;Египетский фунт;10
28.01.2025;11.2399;Индийская рупия;10
29.01.2025;11.3208;Индийская рупия;10
30.01.2025;11.3209;Индийская рупия;10
31.01.2025;11.3192;Индийская рупия;10
01.02.2025;11.2891;Индийская рупия;10
04.02.2025;11.4724;Индийская рупия;10
05.02.2025;11.3100;Индийская рупия;10
28.01.2025;59.6781;Рупия;10000
29.01.2025;60.1903;Рупия;10000
30.01.2025;60.2191;Рупия;10000
31.01.2025;60.4977;Рупия;10000
01.02.2025;60.1579;Рупия;10000
04.02.2025;61.2698;Рупия;10000
05.02.2025;59.8879;Рупия;10000
28.01.2025;18.7571;Тенге;100
29.01.2025;18.9573;Тенге;100
30.01.2025;18.9899;Тенге;100
31.01.2025;18.9622;Тенге;100
01.02.2025;18.8358;Тенге;100
04.02.2025;19.2889;Тенге;100
05.02.2025;18.8906;Тенге;100
28.01.2025;67.7539;Канадский доллар;1
29.01.2025;68.1217;Канадский доллар;1
30.01.2025;68.0927;Канадский доллар;1
31.01.2025;67.8948;Канадский доллар;1
01.02.2025;67.8581;Канадский доллар;1
04.02.2025;69.0026;Канадский доллар;1
05.02.2025;67.4749;Канадский доллар;1
28.01.2025;26.6846;Катарский риал;1
29.01.2025;26.9137;Катарский риал;1
30.01.2025;26.9265;Катарский риал;1
31.01.2025;26.9248;Катарский риал;1
01.02.2025;26.8711;Катарский риал;1
04.02.2025;27.4570;Катарский риал;1
05.02.2025;27.0697;Катарский риал;1
28.01.2025;11.1071;Сом;10
29.01.2025;11.2025;Сом;10
30.01.2025;11.2078;Сом;10
31.01.2025;11.2071;Сом;10
01.02.2025;11.1848;Сом;10
04.02.2025;11.4286;Сом;10
05.02.2025;11.2674;Сом;10
28.01.2025;13.3806;Юань;1
29.01.2025;13.4568;Юань;1
30.01.2025;13.3817;Юань;1
31.01.2025;13.3729;Юань;1
01.02.2025;13.2638;Юань;1
04.02.2025;13.4095;Юань;1
05.02.2025;13.2985;Юань;1
28.01.2025;52.5049;Молдавский лей;10
29.01.2025;53.0718;Молдавский лей;10
30.01.2025;52.6505;Молдавский лей;10
31.01.2025;52.5807;Молдавский лей;10
01.02.2025;52.3713;Молдавский лей;10
04.02.2025;53.3862;Молдавский лей;10
05.02.2025;52.0705;Молдавский лей;10
28.01.2025;55.3021;Новозеландский доллар;1
29.01.2025;55.5025;Новозеландский доллар;1
30.01.2025;55.4996;Новозеландский доллар;1
31.01.2025;55.4960;Новозеландский доллар;1
01.02.2025;55.0430;Новозеландский доллар;1
04.02.2025;55.4136;Новозеландский доллар;1
05.02.2025;55.3660;Новозеландский доллар;1
28.01.2025;86.5712;Норвежская крона;10
29.01.2025;87.3517;Норвежская крона;10
30.01.2025;86.7161;Норвежская крона;10
31.01.2025;86.5030;Норвежская крона;10
01.02.2025;86.5130;Норвежская крона;10
04.02.2025;88.4963;Норвежская крона;10
05.02.2025;86.4224;Норвежская крона;10
28.01.2025;24.1562;Злотый;1
29.01.2025;24.2868;Злотый;1
30.01.2025;24.2348;Злотый;1
31.01.2025;24.2632;Злотый;1
01.02.2025;24.1056;Злотый;1
04.02.2025;24.1689;Злотый;1
05.02.2025;24.1126;Злотый;1
28.01.2025;20.5093;Румынский лей;1
29.01.2025;20.5469;Румынский лей;1
30.01.2025;20.4863;Румынский лей;1
31.01.2025;20.4824;Румынский лей;1
01.02.2025;20.3946;Румынский лей;1
04.02.2025;20.5666;Румынский лей;1
05.02.2025;20.4554;Румынский лей;1
28.01.2025;20.5093;Румынский лей;1
29.01.2025;20.5469;Румынский лей;1
30.01.2025;20.4863;Румынский лей;1
31.01.2025;20.4824;Румынский лей;1
01.02.2025;20.3946;Румынский лей;1
04.02.2025;20.5666;Румынский лей;1
05.02.2025;20.4554;Румынский лей;1
28.01.2025;127.0652;СДР (специальные права заимствования);1
29.01.2025;128.4488;СДР (специальные права заимствования);1
30.01.2025;128.0005;СДР (специальные права заимствования);1
31.01.2025;127.9157;СДР (специальные права заимствования);1
01.02.2025;127.6772;СДР (специальные права заимствования);1
04.02.2025;130.3091;СДР (специальные права заимствования);1
05.02.2025;127.8631;СДР (специальные права заимствования);1
28.01.2025;72.0564;Сингапурский доллар;1
29.01.2025;72.4278;Сингапурский доллар;1
30.01.2025;72.4624;Сингапурский доллар;1
31.01.2025;72.4576;Сингапурский доллар;1
01.02.2025;72.1744;Сингапурский доллар;1
04.02.2025;73.0526;Сингапурский доллар;1
05.02.2025;72.4885;Сингапурский доллар;1
28.01.2025;88.7147;Сомони;10
29.01.2025;89.4763;Сомони;10
30.01.2025;89.7272;Сомони;10
31.01.2025;89.8678;Сомони;10
01.02.2025;89.5358;Сомони;10
04.02.2025;91.4796;Сомони;10
05.02.2025;90.0566;Сомони;10
28.01.2025;28.8003;Бат;10
29.01.2025;28.9113;Бат;10
30.01.2025;29.0494;Бат;10
31.01.2025;29.0268;Бат;10
01.02.2025;29.0653;Бат;10
04.02.2025;29.3364;Бат;10
05.02.2025;29.0660;Бат;10
28.01.2025;27.2602;Турецкая лира;10
29.01.2025;27.4473;Турецкая лира;10
30.01.2025;27.4315;Турецкая лира;10
31.01.2025;27.4229;Турецкая лира;10
01.02.2025;27.3572;Турецкая лира;10
04.02.2025;27.9209;Турецкая лира;10
05.02.2025;27.4203;Турецкая лира;10
28.01.2025;27.7520;Туркменский манат;1
29.01.2025;27.9902;Туркменский манат;1
30.01.2025;28.0036;Туркменский манат;1
31.01.2025;28.0018;Туркменский манат;1
01.02.2025;27.9459;Туркменский манат;1
04.02.2025;28.5552;Туркменский манат;1
05.02.2025;28.1525;Туркменский манат;1
28.01.2025;27.7520;Новый туркменский манат;1
29.01.2025;27.9902;Новый туркменский манат;1
30.01.2025;28.0036;Новый туркменский манат;1
31.01.2025;28.0018;Новый туркменский манат;1
01.02.2025;27.9459;Новый туркменский манат;1
04.02.2025;28.5552;Новый туркменский манат;1
05.02.2025;28.1525;Новый туркменский манат;1
28.01.2025;74.8952;Узбекский сум;10000
29.01.2025;75.5718;Узбекский сум;10000
30.01.2025;75.5397;Узбекский сум;10000
31.01.2025;75.5734;Узбекский сум;10000
01.02.2025;75.4886;Узбекский сум;10000
04.02.2025;77.0273;Узбекский сум;10000
05.02.2025;75.8826;Узбекский сум;10000
28.01.2025;23.1679;Гривна;10
29.01.2025;23.3542;Гривна;10
30.01.2025;23.3255;Гривна;10
31.01.2025;23.3741;Гривна;10
01.02.2025;23.3861;Гривна;10
04.02.2025;23.9521;Гривна;10
05.02.2025;23.5778;Гривна;10
28.01.2025;40.5426;Чешская крона;10
29.01.2025;41.0586;Чешская крона;10
30.01.2025;40.7232;Чешская крона;10
31.01.2025;40.5403;Чешская крона;10
01.02.2025;40.5181;Чешская крона;10
04.02.2025;41.2750;Чешская крона;10
05.02.2025;40.1244;Чешская крона;10
28.01.2025;88.7657;Шведская крона;10
29.01.2025;89.7338;Шведская крона;10
30.01.2025;88.9867;Шведская крона;10
31.01.2025;88.9418;Шведская крона;10
01.02.2025;88.7118;Шведская крона;10
04.02.2025;90.5274;Шведская крона;10
05.02.2025;88.1747;Шведская крона;10
28.01.2025;107.7449;Швейцарский франк;1
29.01.2025;108.1420;Швейцарский франк;1
30.01.2025;108.1578;Швейцарский франк;1
31.01.2025;107.9720;Швейцарский франк;1
01.02.2025;107.3899;Швейцарский франк;1
04.02.2025;108.9300;Швейцарский франк;1
05.02.2025;108.3501;Швейцарский франк;1
28.01.2025;86.7838;Сербский динар;100
29.01.2025;87.3421;Сербский динар;100
30.01.2025;87.3490;Сербский динар;100
31.01.2025;87.1849;Сербский динар;100
01.02.2025;86.7700;Сербский динар;100
04.02.2025;87.4656;Сербский динар;100
05.02.2025;86.6443;Сербский динар;100
28.01.2025;52.2682;Рэнд;10
29.01.2025;52.1222;Рэнд;10
30.01.2025;52.4544;Рэнд;10
31.01.2025;52.9663;Рэнд;10
01.02.2025;52.6119;Рэнд;10
04.02.2025;52.7996;Рэнд;10
05.02.2025;52.5667;Рэнд;10
28.01.2025;67.5889;Вона;1000
29.01.2025;68.1691;Вона;1000
30.01.2025;68.2017;Вона;1000
31.01.2025;68.1972;Вона;1000
01.02.2025;68.2416;Вона;1000
04.02.2025;68.7841;Вона;1000
05.02.2025;67.0662;Вона;1000
28.01.2025;62.4442;Иена;100
29.01.2025;63.1752;Иена;100
30.01.2025;62.9820;Иена;100
31.01.2025;63.3320;Иена;100
01.02.2025;63.3776;Иена;100
04.02.2025;64.1897;Иена;100
05.02.2025;63.4554;Иена;100
